,title,m_title,score,u_genre_id,m_id,,m_author,,author
209,Knots untied,No name,53,,CollWNN,,"Collins, Wilkie",,"McWatters, George S"
210,Checkmate,Crotchet Castle,58,,PeacTCC,,"Peacock, Thomas Love",,"Le Fanu, Joseph Sheridan,"
211,Joshua Marvel,Richard Carvel,59,,ChurWRC,,"Churchill, Winston",,"Farjeon, B. L."
212,Desperate Remedies,Esther Waters,58,,MoorGEW,,"Moore, George",,"Hardy, Thomas,"
213,The coming race,Coming race,85,,LyttECR,,"Lytton, Edward Bulwer Lytton",,"Lytton, Edward Bulwer Lyt"
214,In a glass darkly,Silas Marner,48,,ElioGSM,,"Eliot, George",,"Le Fanu, Joseph Sheridan,"
215,Lumen,St. Leon,46,,GodwWSL,,"Godwin, William",,"Flammarion, Camille,"
216,John Worthington's name,Northanger Abbey,51,,AustJNA,,"Austen, Jane",,"Benedict, Frank Lee,"
217,The expressman and the de,Hereward the wake,57,,KingCHW,,"Kingsley, Charles",,"Pinkerton, Allan,"
218,The expressman and the de,Hereward the wake,57,,KingCHW,,"Kingsley, Charles",,"Pinkerton, Allan,"
219,What might have been expe,The absentee,49,,EdgeMA,,"Edgeworth, Maria",,"Stockton, Frank Richard,"
220,The somnambulist and the ,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Pinkerton, Allan,"
221,The golden tress,The mill on the floss,59,,ElioGMF,,"Eliot, George",,"Du Boisgobey, Fortun??,"
222,"The two orphans, or, The ",THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,60,,HaylWYW,,"Hayley, William, 1745-1820",,"Walraven, E. G."
223,"Getting an indorser, and ",INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,50,,CongWIO,,"Congreve, William, 1670-1729",,"Optic, Oliver,"
224,Claude Melnotte as a dete,Melmoth the wanderer,53,,MatuCMW,,"Maturin, Charles Robert",,"Pinkerton, Allan,"
225,"The rape of the gamp; or,",The prophet of the Great Smoky Mountains,76,,MurfMPG,,"Murfree, Mary Noailles",,"Mason, Charles Welsh."
226,Claude Melnotte as a dete,Melmoth the wanderer,53,,MatuCMW,,"Maturin, Charles Robert",,"Pinkerton, Allan,"
227,Is he the man?,Last Man,55,,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Russell, William Clark,"
228,The spiritualists and the,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Pinkerton, Allan,"
229,As long as she lived,St. Leon : a tale of the sixteenth century,54,,GodwWSL2,,"Godwin, William",,"Robinson, Frederick Willi"
230,Marrying off a daughter,Wives and daughters,57,,GaskEWD,,"Gaskell, Elizabeth Cleghorn",,"Gr??ville, Henry,"
231,The Castle of Trezza,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,79,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Verga, Giovanni,"
232,The age of science,The Heroine,62,,BarrEH,,"Barrett, Eaton Stannard",,"Cobbe, Frances Power,"
233,Criminal reminiscences an,Prime Minister,51,,TrolAPM,,"Trollope, Anthony",,"Pinkerton, Allan,"
234,Landolin,Loss and gain,57,,NewmJLG,,"Newman, John Henry",,"Auerbach, Berthold,"
235,The haunted hotel,The absentee,62,,EdgeMA,,"Edgeworth, Maria",,"Collins, Wilkie,"
236,The Leavenworth case,The absentee,56,,EdgeMA,,"Edgeworth, Maria",,"Green, Anna Katharine,"
237,"On board the ""Rocket""",Hereward the wake,53,,KingCHW,,"Kingsley, Charles",,"Adams, Robert Chamblet,"
238,Mississippi outlaws and t,Confessions of a thug,43,,TaylMCT,,"Taylor, Meadows",,"Pinkerton, Allan,"
239,Bucholz and the detective,Under the greenwood tree,49,,HardTUG,,"Hardy, Thomas",,"Pinkerton, Allan,"
240,The Story of Barbara,The history of David Grieve (Vol. 1/3),64,,WardHHD,,"Ward, Humphry, Mrs.",,"Braddon, M. E."
241,Doings of the Bodley fami,Diana of the crossways,55,,MereGDC,,"Meredith, George",,"Scudder, Horace Elisha,"
242,Across the zodiac,Far from the madding crowd,51,,HardTFF,,"Hardy, Thomas",,"Greg, Percy,"
243,Across the zodiac,Far from the madding crowd,51,,HardTFF,,"Hardy, Thomas",,"Greg, Percy,"
244,The General's Will,The entail,64,,GaltJE,,"Galt, John",,"Zhelikhovsky, Vera,"
245,Across the zodiac,Far from the madding crowd,51,,HardTFF,,"Hardy, Thomas",,"Greg, Percy,"
246,Revi-Lona,Erewhon,50,,ButlSE,,"Butler, Samuel",,"Cowan, Frank,"
247,The stillwater tragedy,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,53,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Aldrich, Thomas Bailey,"
248,The rail-road forger and ,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,54,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Pinkerton, Allan,"
249,The gypsies and the detec,The prophet of the Great Smoky Mountains,57,,MurfMPG,,"Murfree, Mary Noailles",,"Pinkerton, Allan,"
250,Five little Peppers and h,Cloister and hearth,50,,ReadCCH,,"Reade, Charles",,"Sidney, Margaret,"
251,A little pilgrim in the u,Little Lord Fauntleroy,58,,BurnFLL,,"Burnett, Frances Hodgson",,"Oliphant,"
252,The detective's eye ;,The house with the green shutters,49,,BrowGHW,,"Brown, George Douglas",,"Du Boisgobey, Fortun??,"
253,Altiora Peto,Alton Locke,52,,KingCAL,,"Kingsley, Charles",,"Oliphant, Laurence,"
254,King Solomon's mines,King Solomon's mines,100,coo.31924013476498,HaggHKS,,"Haggard, H. Rider",,"Haggard, H. Rider"
255,Marius the Epicurean,"Marius, the Epicurean : his sensations and ideas (Vol. 1/2)",85,mdp.39015000541717,PateWME,,"Pater, Walter",,"Pater, Walter,"
256,"Dangerous ground, or, The",A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,55,,DefoDTR,,"Defoe, Daniel, 1661?-1731",,"Lynch, Lawrence L."
257,Serenus and other stories,Cloister and hearth,55,,ReadCCH,,"Reade, Charles",,"Lema??tre, Jules,"
258,The mystery of a hansom c,The mystery of Edwin Drood,69,,DickCME,,"Dickens, Charles",,"Hume, Fergus,"
259,Professional thieves and ,Confessions of a thug,52,,TaylMCT,,"Taylor, Meadows",,"Pinkerton, Allan,"
260,A romance of two worlds,A tale of two cities,60,,DickCTT,,"Dickens, Charles",,"Corelli, Marie,"
261,The clipper of the clouds,The mill on the floss,65,,ElioGMF,,"Eliot, George",,"Verne, Jules,"
262,Strange case of Dr. Jekyl,Strange case of Dr Jekyll and Mr Hyde,96,mdp.39015059642994,StevRSC,,"Stevenson, Robert Louis",,"Stevenson, Robert Louis,"
263,Olivia Delaplaine,"Vikram and the vampire; or, Tales of Hindu devilry",45,,BurtRVV,,"Burton, Richard Francis, Sir",,"Fawcett, Edgar,"
264,Dreamland and ghostland,Princess and  goblin,51,,MacDGPG,,"MacDonald, George",,Anonymous3
265,A crystal age,A Christmas carol,60,,DickCCC,,"Dickens, Charles",,"Hudson, W. H."
266,A study in scarlet,Lady Audley's secret,58,,BradMLA,,"Braddon, M. E.",,"Doyle, Arthur Conan,"
267,Drones' honey,Doctor Thorne,54,,TrolADT,,"Trollope, Anthony",,"Clarke, Rebecca Sophia,"
268,Beyond compare,Odd women,52,,GissGOW,,"Gissing, George",,"Gibbon, Charles,"
269,A strange manuscript foun,A SIMPLE STORY. IN FOUR VOLUMES.,50,,InchMSS,,"Inchbald, Mrs., 1753-1821",,"De Mille, James,"
270,Weird tid-bits,Water-babies,54,,KingCW,,"Kingsley, Charles",,AnonymousGhost
271,The phantom rickshaw,St. Patrick's Eve,54,,LeveCSP,,"Lever, Charles James",,"Kipling, Rudyard,"
272,The inner house,The Heroine,62,,BarrEH,,"Barrett, Eaton Stannard",,"Besant, Walter,"
273,Mr. Meeson's will,St. Ronan's well,61,,ScotWSR,,"Scott, Walter, Sir",,"Haggard, H. Rider"
274,Weird tid-bits,Water-babies,54,,KingCW,,"Kingsley, Charles",,AnonymousGhost
275,Robert Elsmere,Robert Elsmere,100,uva.x000674483,WardHRE,,"Ward, Humphry, Mrs.",,"Ward, Humphry,"
276,Behind closed doors,Bride of Lammermoor,47,,ScotWBL,,"Scott, Walter, Sir",,"Green, Anna Katharine,"
277,Plain tales from the hill,Annals of the parish,58,,GaltJAP,,"Galt, John",,"Kipling, Rudyard,"
278,Beyond compare,Odd women,52,,GissGOW,,"Gissing, George",,"Gibbon, Charles,"
279,"Looking backward, 2000-18",Coming race,39,,LyttECR,,"Lytton, Edward Bulwer Lytton",,"Bellamy, Edward,"
280,Miser Farebrother,Cloister and hearth,56,,ReadCCH,,"Reade, Charles",,"Farjeon, B. L."
281,Beyond compare,Odd women,52,,GissGOW,,"Gissing, George",,"Gibbon, Charles,"
282,Too curious,Tom Burke Of ours,57,,LeveCTB,,"Lever, Charles",,"Goodman, E. J."
283,Weird tid-bits,Water-babies,54,,KingCW,,"Kingsley, Charles",,AnonymousGhost
284,Weird tid-bits,Water-babies,54,,KingCW,,"Kingsley, Charles",,AnonymousGhost
285,The great war syndicate,The bravo : a tale (Vol. 1/2),54,,CoopJBT,,"Cooper, James Fenimore",,"Stockton, Frank Richard,"
286,A Connecticut Yankee in K,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,42,,SterLPR,,"Sterne, Laurence, 1713-1768",,"Twain, Mark,"
287,Hauntings,Coningsby,56,,DisrBC,,"Disraeli, Benjamin",,"Lee, Vernon,"
288,Modern ghosts;,Egoist,50,,MereGE,,"Meredith, George",,AnonymousGhost2
289,Judith Trachtenberg,Jude the obscure,51,,HardTJO,,"Hardy, Thomas",,"Franzos, Karl Emil,"
290,Modern ghosts,Egoist,53,,MereGE,,"Meredith, George",,AnonymousGhost2
291,C?_sar's column,A Christmas carol,50,,DickCCC,,"Dickens, Charles",,"Donnelly, Ignatius,"
292,The picture of Dorian Gra,Picture of Dorian Gray,89,coo.31924014157121,WildOPD,,"Wilde, Oscar",,"Wilde, Oscar,"
293,A republic without a pres,Pickwick Papers,50,,DickCPP,,"Dickens, Charles",,"Ward, Herbert Dickinson,"
294,Tales of soldiers and civ,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,54,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Bierce, Ambrose,"
295,Eleven possible cases,Uncle Silas,50,,LefaJUS,,"Le Fanu, Joseph Sheridan",,Anonymous9
296,The monk and the hangman',THE MONK: A ROMANCE.,62,,LewiMMR,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,"Bierce, Ambrose,"
297,The big bow mystery,The sign of four,57,,DoylASF,,"Doyle, Arthur Conan",,"Zangwill, Israel,"
298,The goddess of Atvatabar,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,55,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Bradshaw, William R."
299,Adventures of Sherlock Ho,The adventures of Sherlock Holmes,86,mdp.39015049217741,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Doyle, Arthur Conan,"
300,A young man of the period,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,65,,DefoDTR,,"Defoe, Daniel, 1661?-1731",,"Theuriet, Andr??,"
301,In the midst of life;,In the roar of the sea,62,,BariSIR,,"Baring-Gould, Sabine",,"Bierce, Ambrose,"
302,Omega: the last days of t,The last days of Pompeii (Vol. 3/3),68,,LyttELD3,,"Lytton, Edward Bulwer Lytton, Baron",,"Flammarion, Camille,"
303,Hartmann the anarchist,Annals of the parish,57,,GaltJAP,,"Galt, John",,"Fawcett, E. Douglas"
304,The angel of the revoluti,The prophet of the Great Smoky Mountains,65,,MurfMPG,,"Murfree, Mary Noailles",,"Griffith, George Chetwynd"
305,Can such things be?,Can you forgive her?,51,,TrolACY,,"Trollope, Anthony",,"Bierce, Ambrose,"
306,"Martin Hewitt, investigat",Martin Chuzzlewit,57,,DickCMC,,"Dickens, Charles",,"Morrison, Arthur,"
307,When London burned,"Real Life In London, Volumes I. and II. Or, The Rambles And Adventures Of Bob Tallyho, Esq., And His Cousin, The Hon. Tom Dashall, Through The Metropolis; Exhibiting A Living Picture Of Fashionable Characters, Manners, And Amusements In High And Low Life (1821)",52,,BadcJRL,,"Badcock, John",,"Henty, G. A."
308,Jewel mysteries I have kn,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,59,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Pemberton, Max,"
309,A journey in other worlds,Nether world,65,,GissGNW,,"Gissing, George",,"Astor, John Jacob,"
310,The Abb?? Daniel,The absentee,57,,EdgeMA,,"Edgeworth, Maria",,"Theuriet, Andr??,"
311,With edged tools;,The provost,50,,GaltJP,,"Galt, John",,"Scott, Hugh Stowell,"
312,Memoirs of Sherlock Holme,The adventures of Sherlock Holmes,72,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Doyle, Arthur Conan,"
313,The sorrows of Satan;,The rise of Silas Lapham,58,,HoweWRS,,"Howells, William Dean",,"Corelli, Marie,"
314,Beyond the dreams of avar,In the roar of the sea,56,,BariSIR,,"Baring-Gould, Sabine",,"Besant, Walter,"
315,The time machine;,Time machine,83,dul1.ark+=13960=t98637h6g,WellHTM,,"Wells, H. G.",,"Wells, H. G."
316,The strange schemes of Ra,Strange case of Dr Jekyll and Mr Hyde,60,,StevRSC,,"Stevenson, Robert Louis",,"Post, Melville Davisson,"
317,This stage of fools,The sign of four,63,,DoylASF,,"Doyle, Arthur Conan",,"Merrick, Leonard,"
318,Shadows,Hard cash,50,,ReadCHC,,"Reade, Charles",,"Palmarini, I. M."
319,The well-beloved;,Well-beloved,83,uva.x000459624,HardTW2,,"Hardy, Thomas",,"Hardy, Thomas,"
320,Dracula,Dracula,100,StokerDracula1897,StokBD,,"Stoker, Bram",,"Stoker, Bram,"
321,The Dorrington deed-box,The moonstone,56,,CollWM,,"Collins, Wilkie",,"Morrison, Arthur,"
322,Yermah the Dorado,Nether world,55,,GissGNW,,"Gissing, George",,"Wait, Frona Eunice,"
323,"Seth Bond, or, A lost tre",St. Leon : a tale of the sixteenth century,53,,GodwWSL2,,"Godwin, William",,Anonymous1
324,Ghosts I have met and som,The house with the green shutters,49,,BrowGHW,,"Brown, George Douglas",,"Bangs, John Kendrick,"
325,Dealings with the dead;,The house with the green shutters,55,,BrowGHW,,"Brown, George Douglas",,"Le Braz, Anatole,"
326,The lost silver of Briffa,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,58,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Barr, Amelia Edith Huddle"
327,The Turn of the Screw,The prophet of the Great Smoky Mountains,67,,MurfMPG,,"Murfree, Mary Noailles",,"James, Henry,"
328,The yellow danger,The Heroine,57,,BarrEH,,"Barrett, Eaton Stannard",,"Shiel, M. P."
329,The day's work,The way we live now,55,,TrolAWW,,"Trollope, Anthony",,"Kipling, Rudyard,"
330,"My ""budie"" and I",Dombey and Son,53,,DickCDS,,"Dickens, Charles",,"Thornton, Marcellus Eugen"
331,Agatha Webb,Nightmare Abbey,46,,PeacTNA,,"Peacock, Thomas Love",,"Green, Anna Katharine,"
332,The amateur cracksman,Three clerks,55,,TrolATC,,"Trollope, Anthony",,"Hornung, E. W."
333,When the sleeper wakes,The Aspern papers,62,,,,"James, Henry",,"Wells, H. G."
334,Monsieur Beaucaire,Master of Ballantrae,53,,StevRMB,,"Stevenson, Robert Louis",,"Tarkington, Booth,"
335,The model town and the de,The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Pinkerton, Allan,"
336,"Boys of Spring Hill, or, ","The prince of India, or, Why Constantinople fell (Vol. 1/2)",50,,WallLPI,,"Wallace, Lew",,"Chapman, Allen."
337,The model town and the de,The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Pinkerton, Allan,"
338,The burglar's fate and th,The bravo : a tale (Vol. 1/2),56,,CoopJBT,,"Cooper, James Fenimore",,"Pinkerton, Allan,"
339,The secret of the crater,The prophet of the Great Smoky Mountains,75,,MurfMPG,,"Murfree, Mary Noailles",,"Osborne, Duffield,"
340,The first men in the moon,The woman in white,63,,CollWWI,,"Collins, Wilkie",,"Wells, H. G."
341,A woman of Mars,A legend of Montrose,57,,ScotWLM,,"Scott, Walter, Sir",,"Ling, M. A. Moore Bentley"
342,The purple cloud,The Coral Island,56,,BallRCI,,"Ballantyne, R. M.",,"Shiel, M. P."
343,Welsh rarebit tales,Water-babies,52,,KingCW,,"Kingsley, Charles",,"Owen, Harle Oren."
344,The return of Sherlock Ho,The adventures of Sherlock Holmes,79,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Doyle, Arthur Conan,"
345,Under the rose,Jude the obscure,73,,HardTJO,,"Hardy, Thomas",,"Isham, Frederic Stewart,"
346,The hill of trouble and o,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,61,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Benson, Arthur Christophe"
347,The Man on the Bottle,The woman in white,67,,CollWWI,,"Collins, Wilkie",,"Meyrink, Gustav,"
348,The sale of an appetite,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,65,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Lafargue, Paul,"
349,The Princess Thora,The professor,71,,BronCP,,"Bronte, Charlotte",,"Harris-Burland, J. B."
350,The Albert Gate mystery,The absentee,57,,EdgeMA,,"Edgeworth, Maria",,"Tracy, Louis,"
351,The food of the gods and ,The wreck of the Grosvenor,65,,RussWWG,,"Russell, William Clark",,"Wells, H. G."
352,The Bobbsey twins;,The Bostonians,69,,JameHB,,"James, Henry",,"Hope, Laura Lee."
353,A book of ghosts,Tom Burke Of ours,55,,LeveCTB,,"Lever, Charles",,"Baring-Gould, S."
354,Robert Cavelier,Robert Elsmere,76,,WardHRE,,"Ward, Humphry, Mrs.",,"Orcutt, William Dana,"
355,The mortgage on the brain,The prophet of the Great Smoky Mountains,61,,MurfMPG,,"Murfree, Mary Noailles",,"Harper, Vincent."
356,Salvator,Sylvia's lovers,52,,GaskESL,,"Gaskell, Elizabeth Cleghorn",,"Gibbon, Perceval,"
357,A Christmas carol in pros,A Christmas carol,81,mdp.39076002621501,DickCCC,,"Dickens, Charles",,"Dickens, Charles,"
358,The memoirs of Constantin,Memoirs of Emma Courtney,61,,HaysMME,,"Hays, Mary",,"Pain, Barry,"
359,The gods of Peg??na,The last days of Pompeii (Vol. 1/3),56,,LyttELD,,"Lytton, Edward Bulwer Lytton, Baron",,"Dunsany, Edward John More"
360,A time of terror,At the back of the north wind,59,,MacDGAB,,"MacDonald, George",,"Ford, Douglas Morey."
361,The empty house,The moonstone,57,,CollWM,,"Collins, Wilkie",,"Blackwood, Algernon,"
362,The tracer of lost person,"The Tower of London, a historical romance",64,,AinsWTL,,"Ainsworth, William Harrison",,"Chambers, Robert W."
363,Modern ghost stories,Mayor of Casterbridge,54,,HardTMC,,"Hardy, Thomas",,"Buckingham, Emma May."
364,The night-riders;,The Heroine,57,,BarrEH,,"Barrett, Eaton Stannard",,"Cullum, Ridgwell,"
365,The thinking machine,Time machine,62,,WellHTM,,"Wells, H. G.",,"Futrelle, Jacques,"
366,The Red Thumb Mark,Hereward the wake,63,,KingCHW,,"Kingsley, Charles",,"Freeman, R. Austin,"
367,The Bobbsey twins at the ,The house with the green shutters,62,,BrowGHW,,"Brown, George Douglas",,"Hope, Laura Lee."
368,The windfall;,The entail,61,,GaltJE,,"Galt, John",,"Murfree, Mary Noailles,"
369,The stooping lady,The Bostonians,58,,JameHB,,"James, Henry",,"Hewlett, Maurice,"
370,The stronger claim,The moonstone,58,,CollWM,,"Collins, Wilkie",,"Perrin, Alice,"
371,The quests of Paul Beck,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,57,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Bodkin, M. McDonnell"
372,The woman who vowed,The woman who did,83,,AlleGWW,,"Allen, Grant",,"Harding, Ellison."
373,The circular staircase,The Coral Island,53,,BallRCI,,"Ballantyne, R. M.",,"Rinehart, Mary Roberts,"
374,An amateur adventuress,Omoo: a narrative of adventures in the South Seas,64,,MelvHON,,"Melville, Herman",,"Moore, Frank Frankfort,"
375,The wiles of Sexton Magin,"The Tower of London, a historical romance",60,,AinsWTL,,"Ainsworth, William Harrison",,"Egan, Maurice Francis,"
376,The man in the corner,The woman in white,67,,CollWWI,,"Collins, Wilkie",,"Orczy, Emmuska Orczy,"
377,The lock and key library:,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,50,,DefoDLS,,"Defoe, Daniel, 1661?-1731",,"Hawthorne, Julian,"
378,A Columbus of space,Last chronicle of Barset,51,,TrolALC,,"Trollope, Anthony",,"Serviss, Garrett Putman,"
379,"Randolph Mason, corrector",A country doctor,49,,JeweSCD,,"Jewett, Sarah Orne",,"Post, Melville Davisson,"
380,A Roman tragedy and other,A country doctor,59,,JeweSCD,,"Jewett, Sarah Orne",,"Ayscough, John,"
381,The man in lower ten,The woman in white,74,,CollWWI,,"Collins, Wilkie",,"Rinehart, Mary Roberts,"
382,The new June,The Heroine,61,,BarrEH,,"Barrett, Eaton Stannard",,"Newbolt, Henry John,"
383,The big fellow,The sign of four,60,,DoylASF,,"Doyle, Arthur Conan",,"Palmer, Frederick,"
384,Tales of men and ghosts,The woman in white,54,,CollWWI,,"Collins, Wilkie",,"Wharton, Edith,"
385,At the Villa Rose,At the back of the north wind,63,,MacDGAB,,"MacDonald, George",,"Mason, A. E. W."
386,Westover of Wanalah;,Master of Ballantrae,55,,StevRMB,,"Stevenson, Robert Louis",,"Eggleston, George Cary,"
387,Lady Molly of Scotland Ya,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,50,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Orczy, Emmuska Orczy,"
388,The mystery of the yellow,The mystery of Edwin Drood,71,,DickCME,,"Dickens, Charles",,"Leroux, Gaston,"
389,Panders and their white s,Esther Waters,58,,MoorGEW,,"Moore, George",,"Roe, Clifford Griffith,"
390,The long roll,Self-control,56,,BrunMS,,"Brunton, Mary",,"Johnston, Mary,"
391,The gold bag,Nether world,58,,GissGNW,,"Gissing, George",,"Wells, Carolyn,"
392,The poisoned pen,The moonstone,62,,CollWM,,"Collins, Wilkie",,"Reeve, Arthur B."
393,The librarian at play,The bravo : a tale (Vol. 1/2),56,,CoopJBT,,"Cooper, James Fenimore",,"Pearson, Edmund Lester,"
394,The gold fish of Gran Chi,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"Lummis, Charles Fletcher,"
395,The innocence of Father B,The sign of four,59,,DoylASF,,"Doyle, Arthur Conan",,"Chesterton, G. K."
396,The adventures of Kimble ,The adventures of Sherlock Holmes,72,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Cowan, James,"
397,Wandering ghosts,Woodlanders,52,,HardTW,,"Hardy, Thomas",,"Crawford, F. Marion"
398,Tom Swift and his sky rac,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,53,,SterLLO,,"Sterne, Laurence, 1713-1768",,"Appleton, Victor."
399,A princess of Mars,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",62,,WallLPI,,"Wallace, Lew",,"Burroughs, Edgar Rice,"
400,The chronicles of Quincy ,Last chronicle of Barset,61,,TrolALC,,"Trollope, Anthony",,"Pidgin, Charles Felton,"
401,Aunt Jane's nieces on vac,ANNA ST. IVES: A NOVEL.,46,,HolcTAS7,,"Holcroft, Thomas, 1745-1809",,"Baum, L. Frank"
402,Putting Marshville on the,The mill on the floss,57,,ElioGMF,,"Eliot, George",,"Rose, William Ganson,"
403,The lost world,Nether world,69,,GissGNW,,"Gissing, George",,"Doyle, Arthur Conan,"
404,The scarlet plague,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"London, Jack,"
405,Famous ghost-stories by E,Can you forgive her?,44,,TrolACY,,"Trollope, Anthony",,"Gowans, Adam L."
406,Mr. Fleight,Martin Chuzzlewit,50,,DickCMC,,"Dickens, Charles",,"Ford, Ford Madox,"
407,The white linen nurse,The way we live now,60,,TrolAWW,,"Trollope, Anthony",,"Abbott, Eleanor Hallowell"
408,The saddle boys of the Ro,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,62,,LennCFQ2,,"Lennox, Charlotte, ca. 1729-1804",,"Carson, James."
409,The case of Jennie Brice,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,60,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Rinehart, Mary Roberts,"
410,The outdoor girls at Rain,The Coral Island,54,,BallRCI,,"Ballantyne, R. M.",,"Hope, Laura Lee."
411,Goslings,Coningsby,59,,DisrBC,,"Disraeli, Benjamin",,"Beresford, J. D."
412,The combined maze,Coming race,57,,LyttECR,,"Lytton, Edward Bulwer Lytton",,"Sinclair, May."
413,The Meadow-Brook girls un,The Heroine,50,,BarrEH,,"Barrett, Eaton Stannard",,"Aldridge, Janet."
414,"Room number 3, and other ",Dombey and Son,53,,DickCDS,,"Dickens, Charles",,"Green, Anna Katharine,"
415,Told in the Indian twilig,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",49,,WallLPI,,"Wallace, Lew",,"Knight, Arthur Lee."
416,Ruth Fielding at Briarwoo,The mystery of Edwin Drood,47,,DickCME,,"Dickens, Charles",,"Emerson, Alice B."
417,"Constance Dunlap, woman d",The Eustace diamonds,49,,TrolAED,,"Trollope, Anthony",,"Reeve, Arthur B."
418,Ruth Fielding at Lighthou,The mill on the floss,48,,ElioGMF,,"Eliot, George",,"Emerson, Alice B."
419,The confessions of Ars??ne,Confessions of a thug,68,,TaylMCT,,"Taylor, Meadows",,"Leblanc, Maurice,"
420,The tinder-box,The Heroine,56,,BarrEH,,"Barrett, Eaton Stannard",,"Daviess, Maria Thompson."
421,The way of the strong;,The wreck of the Grosvenor,67,,RussWWG,,"Russell, William Clark",,"Cullum, Ridgwell,"
422,The misadventures of Jose,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,69,,HolcTAH,,"Holcroft, Thomas, 1745-1809",,"Bell, J. J."
