,actual,author,birthdate,date,doc_id,enumcron,final_genre,firstpub,gender,genretags,imprint,locnum,nationality,oclc,predicted,recordid,subjects,title,zscore
251,1962,"Burroughs, William S.",1914,1962,20481,,non_genre,1962,m,chirandom | teamblack,Paris Olym,,us,,1975.669333,,,The ticket that exploded,0.849261255
928,1849,"Harris, Alexander,",1805,1849,uiuo.ark+=13960=t8pc3d497,v.2,non_genre,1849,m,teamblack | random,London;Smi,,au,34087352,1862.66282,8719495,,The emigrant family ;,0.848831792
346,1977,"Anthony, Piers,",1934,1977,21390,,non_genre,1977,m,chifantasy | teamblack,New York B,,us,,1990.629746,,Fantasy;Xa,A spell for Chameleon,0.846650983
919,1812,"Stanhope, Louisa Sidney.",,1812,uiuo.ark+=13960=t5z615j7x,v.1,gothic,1812,f,teamred | stangothic | stew,"London;Printed at the Minerva-Press, for A. K. Newman and Co.;1812.",,uk,7097044,1825.575572,8719007,,The confessional of Valombre,0.84307888
37,1932,"Faulkner, William",1897,1932,10380,,gothic,1932,m,teamblack | pbgothic,New York: ,,us,,1945.550889,,Racially m,Light in August,0.841451328
568,1867,"Gaboriau, Emile,",1832,1899,mdp.39015030307881,,crime,1867,m,det100 | teamblack,Boston;Lit,PZ3.G113F6,fr,22904937,1880.514989,1212443,,File no. 113,0.839084232
5,1931,"Cummings, Ray,",1887,1931,10090,,scifi,1931,m,teamblack | chiscifi,New York A,,us,,1944.448444,,Science fi,Brigands of the moon,0.834696434
205,1952,"Malamud, Bernard",1914,1952,20070,,non_genre,1952,m,chirandom | teamblack,New York: ,,us,,1965.431169,,Romance No,The natural,0.833557342
247,1961,"Galouye, Daniel F,",1920,1961,20450,,scifi,1961,m,teamred | chiscifi | stew,New York B,,us,,1974.292731,,Science fi,Dark universe,0.824429096
13,1925,"Burroughs, Edgar Rice,",1875,1925,10235,,scifi,1925,m,teamblack | chiscifi | stew,New York A,,us,,1938.262324,,Science fi,The moon men,0.822424192
682,1796,"Lewis, M. G.",1775,1796,nyp.33433074874748,v. 3,gothic,1796,m,teamblack | pbgothic | stew,London;J. ,,uk,6566039,1809.189385,8665865,,The monk,0.817614752
595,1832,"Galt, John,",1779,1832,mdp.39015063994266,v.3,non_genre,1832,m,teamred | random,London;H. ,,uk,1626459,1845.111512,779565,,Stanley Buxton;,0.812479998
760,1920,"Bailey, Arthur Scott,",1877,1920,nyp.33433082524822,,non_genre,1920,m,teamblack | random,New York;G,,us,20434210,1933.051136,5959535,,The tale of Grumpy Weasel,0.808498979
522,1829,"Vidocq, Eug̬ne Fran̤ois,",,1834,hvd.32044020321865,,crime,1829,m,teamred | det100,,<blank>,fr,3859253,1841.937113,9721921,,Memoirs of Vidocq,0.800980632
882,1832,"Hall, Anna Maria",1800,1832,uc2.ark+=13960=t8ff3s14j,v.3,crime,1832,f,teamred | locdetmyst | stew,London;R. ,,uk,14250735,1844.847438,7688518,Criminals;,The buccaneer,0.795067702
945,1794,"Godwin, William,",1756,1856,uva.x000498882,V.1-2,gothic,1794,m,teamred | pbgothic | stew,New York;H,,uk,19769848,1806.834475,9780276,,The adventures of Caleb W,0.794212989
99,1950,"Seton, Anya,",1904,1950,11007,,non_genre,1950,f,chirandom | teamblack,Chicago Sears Readers Club 1950,,us,,1962.771123,189,Romantic suspense fiction;Large type books;Married women;Arizona;Married women -- Arizona,Foxfire,0.790035673
227,1956,"Del Rey, Lester,",1915,1956,20222,,scifi,1956,m,teamblack | chiscifi,Philadelph,,us,,1968.715217,,Science fi,Mission to the moon,0.786349399
708,1853,"Dickens, Charles,",1812,1904,nyp.33433074954748,,crime,1853,m,teamred | det100,London;A. ,,uk,37223227,1865.607089,8668049,,Bleak house,0.779219731
893,1821,"Scott, Walter,",1771,1838,ucm.5324200594,,non_genre,1821,m,teamred | random,Paris;Baud,,uk,,1833.418446,9654708,,Kenilworth,0.766781136
469,1921,"Byrne, Donn,",1889,1921,4529,,non_genre,1921,m,chirandom | chifantasy | teamblack,New York C,,us,,1933.394187,,,Messer Marco Polo,0.765181594
900,1807,"Mortimer, Edward,",,1807,uiuo.ark+=13960=t18k7vt5k,v.4,gothic,1807,m,teamred | stangothic,"London;Printed by J. Dennett, for J.F. Hughes;1807.",,uk,77209367,1819.272686,8719876,,The friar Hildargo,0.757170152
114,1929,"Hammett, Dashiell,",1894,1929,11100,,crime,1929,m,hardboiled | det100 | teamblack | chimyst,New York; ,,us,,1941.21928,,Gangs;Unit,Red Harvest,0.75364865
413,1986,"Dunlap, Susan,",,1986,22492,,crime,1986,f,teamblack | chimyst | stew,New York S,,us,,1998.173369,,California,The last annual slugfest,0.750621459
594,1820,"Galt, John,",1779,1820,mdp.39015063967478,v.3,non_genre,1820,m,teamblack | random,Edinburgh;,,uk,66895091,1832.171602,779533,,The earthquake;,0.750504944
619,1887,"Hudson, W. H.",1841,1906,njp.32101013621246,,scifi,1887,m,teamred | anatscifi,New York;E,,uk,10602436,1899.119372,8884062,,A crystal age,0.747060995
150,1933,"Franklin, Miles,",1879,1933,11396,,crime,1933,f,chirandom | teamred | chimyst, Sydney : ,,au,,1945.082999,,,Bring the monkey,0.7446627
490,1863,"Felix, Charles, pseud.",,1863,NottingHM,,non_genre,1863,m,teamred | blcrime,,,uk,,1875.075732,,,Notting Hill Mystery,0.744183494
518,1899,"Wells, H. G.",1866,1899,dul1.ark+=13960=t80k32x0x,,scifi,1899,m,teamred | locscifi,New York;L,PZ3.W465Whe,uk,2338373,1910.958674,10944187,Science fi,When the sleeper wakes,0.736465059
683,1899,"Hornung, E. W.",1866,1899,nyp.33433074876388,,crime,1899,m,teamred | det100,New York;C,,uk,11088221,1910.955662,8665032,English fi,The amateur cracksman,0.736266402
168,1939,"Berkeley, Anthony,",1893,1939,11593,,crime,1939,,teamblack | chimyst,New York G,,uk,,1950.954996,,Mystery fi,Death in the house,0.736222524
702,1888,"Besant, Walter,",1836,1888,nyp.33433074939723,,scifi,1888,m,teamblack | anatscifi | stew,New York;H,,uk,2016496,1899.952284,8664055,Fantasy fi,The inner house,0.736043716
688,1788,"Smith, Charlotte,",1749,1788,nyp.33433074911508,v. 1,gothic,1788,f,teamred | pbgothic | stew,London;T. ,PR3688.S4E55,uk,7085107,1799.90284,1022801,,Emmeline,0.732783468
248,1961,"Robbins, Harold,",1916,1961,20471,,non_genre,1961,m,chirandom | teamred,New York S,,us,,1972.802051,,Motion pic,The carpetbaggers,0.726137751
40,1934,"Teilhet, Darwin L.",1904,1934,10460,,crime,1934,m,teamblack | chimyst,New York W,,us,,1945.786548,,Mystery fi,The talking sparrow murde,0.725115523
719,1915,"Fowler, Ellen Thorneycrof",1860,1915,nyp.33433075741243,,non_genre,1915,f,teamred | random,New York;G,,uk,19903160,1926.538929,8665174,,Ten degrees backward,0.708788159
910,1868,"Speight, T. W.",1830,1869,uiuo.ark+=13960=t3223k32d,v.2,crime,1868,m,det100 | teamblack | stew,London;Tin,,uk,57296189,1879.516025,8723979,,Under lock and key; a sto,0.707277934
766,1891,Anonymous9,,1891,uc1.$b382267,,crime,1891,,teamblack | locdetmyst | stew,London;Cas,,,9118332,1902.512369,9260126,Detective ,Eleven possible cases,0.707036879
57,1942,"Rice, Craig,",1908,1942,10688,,crime,1942,m,det100 | teamblack | chimyst,New York S,,us,,1953.502033,,Mystery fi,The big midget murders,0.706355394
604,1921,"Seaman, Augusta Huiell,",1879,1921,mdp.39076002194368,,crime,1921,f,teamred | locdetmyst | juvenile | drop,New York;C,,us,23916790,1932.431535,9926721,Paper mone,The dragon's secret,0.701706933
52,1940,"Reilly, Helen,",1890,1940,10622,,crime,1940,f,teamred | chimyst | stew,New York R,,us,,1951.325668,,Scottish A,The dead can tell,0.694726323
107,1938,"Du Maurier, Daphne,",1907,1938,11061,,gothic,1938,f,teamred | pbgothic | stew,Garden Cit,,uk,,1949.303471,,England;En,Rebecca,0.693262744
77,1946,"Welty, Eudora,",1909,1946,10835,,non_genre,1946,f,chirandom | teamblack,"New York: Harcourt, Brace & Co.",,us,,1957.297662,,,Delta Wedding,0.692879667
243,1960,"McBain, Ed,",1926,1960,20417,,crime,1960,m,teamblack | chimyst | stew,New York S,,us,,1971.198168,,United Sta,Give the boys a great big,0.686319348
695,1858,"Austin, Alfred,",1835,1858,nyp.33433074920608,v. 2,non_genre,1858,m,teamred | random,London;J.F,,uk,11850259,1869.142554,8663992,,Five years of it,0.682652322
800,1890,"Lee, Vernon,",1856,1906,uc1.b3325448,,gothic,1890,f,teamred | pbgothic | stew,London;New,,uk,2155052,1901.114764,6131665,,Hauntings,0.680819916
796,1906,"Cullum, Ridgwell,",1867,1913,uc1.b3324205,,non_genre,1906,m,teamblack | random,New York;A,,uk,4839101,1917.0692,6130830,,The night-riders;,0.67781553
551,1910,"Mason, A. E. W.",1865,1910,mdp.39015006963881,,crime,1910,m,teamred | det100,New York;G,PZ3.M382At,uk,3692078,1921.027269,245776,,At the Villa Rose,0.675050749
41,1935,"Lewis, Sinclair,",1885,1935,10476,,scifi,1935,m,teamred | chiscifi,Garden Cit,,us,,1946.016912,,Political ,It can't happen here,0.674367796
561,1821,"Maturin, Charles Robert,",1782,1892,mdp.39015021039980,v.3,gothic,1821,m,teamred | pbgothic | stew,London;R. ,,ir,4418502,1832.015338,1910357,,Melmoth the wanderer,0.674264045
478,1922,"Masters, Edgar Lee,",1868,1922,4708,,non_genre,1922,m,chirandom | teamred,New York M,,us,,1932.956243,,"Douglas, S",Children of the market pl,0.670367432
531,1868,"Collins, Wilkie,",1824,1868,inu.30000007708815,,multi,1868,m,teamred | det100 | pbgothic,New York;H,PZ3.C697Mo2,uk,876882,1878.952035,6057734,,The moonstone,0.670089982
287,1967,"Fox, Paula,",1923,1967,20737,,non_genre,1967,f,chirandom | teamblack,"New York Harcourt, Brace & Co. 1967",,us,,1977.891337,132,"Manhattan (New York, N.Y.);Suburban life;Juvenile delinquents",Poor George,0.666087739
710,1790,"Radcliffe, Ann Ward,",1764,1792,nyp.33433074955091,v. 2,gothic,1790,f,teamred | pbgothic | stew,London;T. ,,uk,23642675,1800.864287,2104589,,A Sicilian romance,0.664304113
643,1801,"Du Bois, Edward,",1774,1803,njp.32101068177102,vol.3,non_genre,1801,m,teamred | random,London;T.N. Longman and O. Rees;1803.,PZ3.D8515O2,uk,10370714,1811.819343,8969050,,Old Nick;,0.661340621
32,1931,"Queen, Ellery,",,1931,10359,,crime,1931,m,teamred | det100 | chimyst,New York F,,us,,1941.642576,,Fathers an,The Dutch shoe mystery,0.649685133
530,1894,"Doyle, Arthur Conan,",1859,1922,inu.30000007703436,,crime,1894,m,teamblack | locdetmyst,New York;A,,other,15749881,1904.634933,6057848,Private in,Memoirs of Sherlock Holme,0.64918118
350,1977,"Foster, Alan Dean,",1946,1977,21423,,scifi,1977,m,chirandom | teamred | chiscifi,New York B,,us,,1987.601468,,Science fi,The end of the matter,0.646974585
524,1761,"Rousseau, Jean-Jacques,",1712,1796,hvd.hw3q0s,v.3,non_genre,1761,m,teamred | random,Philadelph,PQ2039.A45,fr,10438442,1771.578661,9706391,,Eloisa: or A series of or,0.645470717
533,1887,Anonymous3,,1887,inu.30000042783591,v.3,gothic,1887,,teamblack | locghost,London;G. ,,,3302677,1897.53647,6056230,Ghost stor,Dreamland and ghostland,0.642688776
396,1982,"Wilcox, Collin,",1924,1982,22029,,crime,1982,m,teamblack | chimyst | stew,New York R,,us,,1992.466938,,"Hastings, ",Stalking horse,0.638103993
481,1922,"Traprock, Walter E.",1877,1922,4748,,non_genre,1922,m,chirandom | teamblack,"New York; London G.P. Putnam's Sons,  : The Knickerbocker Press 1922",,us,,1932.437359,195,Arctic Regions;Arctic regions,My northern exposure,0.636153636
798,1859,"De Forest, John William,",1826,1859,uc1.b3324220,,non_genre,1859,m,teamred | random,Boston;Phi,PZ3.D363S,us,2619996,1869.39183,6130842,,Seacliff;,0.633151605
284,1966,"Zelazny, Roger,",1937,1966,20723,,scifi,1966,m,chifantasy | teamblack | chiscifi,New York; ,,us,,1976.246372,,Science fi,This immortal,0.623560477
353,1977,"Sanders, Lawrence,",1920,1977,21469,,crime,1977,m,teamred | chimyst,New York P,,us,,1987.204126,,United Sta,The second deadly sin,0.620774922
812,1863,"Trollope, Anthony,",1815,1863,uc1.b4101364,v.2,non_genre,1863,m,teamred | random,Leipzig;B.,,uk,5900255,1873.199888,6154524,,Rachel Ray,0.620495445
961,1830,"Lytton, Edward Bulwer Lyt",1803,0,wu.89100297621,,crime,1830,m,teamred | newgate | stew,London;Rou,,uk,637830,1840.100411,9183449,,Paul Clifford,0.613936214
210,1953,"Bradbury, Ray,",1920,1953,20088,,scifi,1953,m,teamblack | chiscifi | stew,New York B,,us,,1963.058557,,Political ,Fahrenheit 451,0.611176477
592,1794,"Radcliffe, Ann Ward,",1764,1806,mdp.39015063950102,v.2,gothic,1794,f,teamred | pbgothic,London;Lon,,uk,44887870,1804.007023,781722,,The mysteries of Udolpho,0.607778475
50,1939,"Stout, Rex,",1886,1939,10588,,crime,1939,m,teamred | det100 | chimyst,New York; ,,us,,1948.902738,,Indiana;My,Mountain cat Murders,0.600902235
207,1952,"Spillane, Mickey,",1918,1952,20078,,crime,1952,m,chirandom | hardboiled | teamblack | chimyst | stew,New York E,,us,,1961.881595,,"Hammer, Mi",Kiss me: deadly,0.599508086
54,1942,"Eberhart, Mignon Good",1899,1942,10661,,crime,1942,f,det100 | teamblack | cozy,New York: ,,us,,1951.840336,,Medical no,Wolf in man's clothing,0.596787571
819,1894,"Morrison, Arthur,",1863,1907,uc1.b4105459,,crime,1894,m,det100 | teamblack,New York;H,,uk,4512180,1903.73368,6156317,,"Martin Hewitt, investigat",0.589754998
130,1928,"Wright, S. Fowler,",1874,1928,11242,,scifi,1928,m,teamred | chifantasy | chiscifi,New York C,,uk,,1937.659722,,Science fi,The island of Captain Spa,0.584878376
28,1930,"Kline, Otis Adelbert,",1891,1930,10337,,scifi,1930,m,teamblack | chiscifi,Chicago A.,,us,,1939.638542,,Science fi,The prince of peril,0.583481838
849,1832,"Hall, Anna Maria",1800,1832,uc2.ark+=13960=t3rv0jp0n,v.1,crime,1832,f,teamred | locdetmyst | stew,London;R. ,,uk,14250735,1841.523383,7688518,Criminals;,The buccaneer,0.575888601
342,1976,"Piercy, Marge,",1936,1976,21355,,scifi,1976,f,chiutopia | chiscifi | teamred,New York A,,us,,1985.51795,,Psychiatri,Woman on the edge of time,0.575530312
930,1826,"Shelley, Mary Wollstonecr",uk,1826,uiuo.ark+=13960=t8x92v101,v.3,scifi,1826,f,teamred | femscifi,London;H. ,PZ3.S545L2,uk,2554632,1835.501332,1692807,,The last man,0.574434622
225,1956,"Coxe, George Harmon,",1901,1956,20218,,crime,1956,m,teamblack | chimyst,New York A,,us,,1965.498163,,Mystery fi,Man on a rope,0.57422567
558,1890,AnonymousGhost2,,1890,mdp.39015012876820,,gothic,1890,,teamblack | locghost | stew,New York;H,,,52047650,1899.487857,1901293,Ghost stor,Modern ghosts,0.573546088
144,1931,"Williams, Charles,",1886,1931,11349,,non_genre,1931,m,chirandom | teamblack,London Vic,,uk,,1940.412177,,Paranormal,Many dimensions,0.568555965
703,1906,"Chambers, Robert W.",1865,1906,nyp.33433074941562,,crime,1906,m,teamred | det100 | stew,New York;D,,us,577209,1915.406968,7915295,,The tracer of lost person,0.568212461
124,1926,"Fraser, Ronald,",1888,1926,11166,,non_genre,1926,m,teamred | chifantasy,New York B,,uk,,1935.370521,,Fantasy fi,Flower phantoms,0.565809269
787,1864,"Le Fanu, Joseph Sheridan,",1814,1864,uc1.b250127,v.1,multi,1864,m,teamred | sensation | pbgothic | stew,London;R. ,,ir,5515317,1873.348565,6502425,,Uncle Silas,0.564361552
221,1954,"Robbins, Harold,",1916,1954,20163,,non_genre,1954,m,chirandom | teamblack,New York Avon Publications 1954,,us,,1963.318149,90,Big business;Businessmen;New York (N.Y.);Psychological fiction,Never leave me,0.562356035
853,1893,"Griffith, George Chetwynd",1857,1894,uc2.ark+=13960=t45q4sn3p,,scifi,1893,m,teamblack | anatscifi,London;Tow,,uk,2110319,1902.307028,7660654,Science fi,The angel of the revoluti,0.561622717
513,1826,"Shelley, Mary Wollstonecr",1797,1833,dul1.ark+=13960=t41r7h934,v.2,scifi,1826,f,teamblack | femscifi | stew,Philadelph,,uk,982656,1835.253806,10944411,,The last man,0.558113415
802,1871,"McWatters, George S",1812,1871,uc1.b3386909,,crime,1871,m,teamred | locdetective,Hartford;J,HV7914.M3,,2567964,1880.184566,6284127,Detectives,Knots untied,0.553547879
219,1954,"Matheson, Richard,",1926,1954,20152,,multi,1954,m,teamred | pbgothic | chihorror | chiscifi,Garden Cit,,us,,1963.126552,,Vampires;E,I am legend,0.549722606
86,1948,"Skinner, B. F.",1904,1948,10916,,scifi,1948,m,chirandom | chiutopia | teamblack,New York M,,us,,1957.111382,,Gesellscha,Walden Two,0.548722323
845,1908,"Rinehart, Mary Roberts,",1876,1908,uc2.ark+=13960=t3707xt9q,,crime,1908,f,teamred | det100 | locdetmyst,New York :,,us,4280505,1917.073945,7671080,,The circular staircase,0.546253849
226,1956,"Crane, Frances,",1890,1956,20219,,crime,1956,f,teamblack | chimyst,New York R,,us,,1964.962486,,Indians of,Horror on the Ruby X,0.538904582
805,1911,"Crawford, F. Marion",1854,1911,uc1.b3578339,,gothic,1911,m,teamred | pbgothic | stew,New York;M,,us,822499,1919.947814,6674546,,Wandering ghosts,0.537937124
296,1969,"Davis, Gwen,",1936,1969,20820,,non_genre,1969,f,chirandom | teamred,New York W,,us,,1977.945719,,,The pretenders,0.537798998
913,1803,"Young, Mary Julia.",1770,1803,uiuo.ark+=13960=t3xs6cp6m,v.2,gothic,1803,f,teamred | stangothic | stew,London;Printed by D.N. Shury for Crosby and Hughes;1803.,,uk,13323844,1811.907918,8722931,,"Right and wrong; or, The kinsmen of Naples",0.53530646
33,1931,"Schuyler, George S.",1895,1931,10361,,scifi,1931,m,teamblack | chiscifi,New York M,,us,,1939.785582,,Humorous f,Black no more,0.527239975
769,1876,"Pinkerton, Allan,",1819,1905,uc1.$b813705,,crime,1876,m,locdetective | teamblack,New York;D,,us,,1884.730285,9946595,Detectives,The spiritualists and the,0.52359383
581,1823,"Lockhart, J. G.",1794,1823,mdp.39015059372105,v.2,non_genre,1823,m,teamblack | random,Edinburgh;William Blackwood;1823.,,uk,2275988,1831.72085,538804,,Reginald Dalton,0.522971716
545,1818,"Shelley, Mary Wollstonecr",1797,1891,mdp.39015004200997,,multi,1818,f,stangothic | femscifi | teamred | stew,London;G. ,,uk,14770844,1826.628328,1774603,,Frankenstein,0.516871074
479,1922,"Paine, Ralph Delahaye,",1871,1922,4720,,non_genre,1922,m,chirandom | teamred | juvenile | drop,Philadelph,,us,,1930.622128,,Pirates --,Blackbeard: buccaneer,0.516462281
771,1818,"Austen, Jane,",1775,1922,uc1.31158008377706,,gothic,1818,f,teamblack | pbgothic,London;Tor,,uk,1215156,1826.618405,439042,,Northanger abbey,0.516216782
525,1837,"Dickens, Charles,",1812,1843,hvd.hwjme4,,crime,1837,m,newgate | teamblack | stew,Leipzig;B.,,uk,1980800,1845.613502,9730346,,Oliver Twist,0.515893523
632,1861,"Wood, Ellen,",1814,1877,njp.32101067187755,,sensation,1861,f,sensation | teamblack | stew,New York,,uk,,1869.604352,,,East Lynne,0.515290191
855,1894,"Henty, G. A.",1832,1894,uc2.ark+=13960=t48p64044,,non_genre,1894,m,teamblack | random,New York;C,,uk,1563316,1902.600754,5549075,History;17,When London burned,0.51505292
122,1925,"Knox, Ronald Arbuthnott,",1888,1925,11148,,crime,1925,m,teamred | chimyst,London Met,,uk,,1933.516875,,Mystery an,The viaduct murder,0.509522207
843,1917,"Kerr, Doris Boake,",1889,1917,uc2.ark+=13960=t3125st2r,,non_genre,1917,f,teamred | random,Melbourne;,,au,11295112,1925.466832,7664297,,Painted clay,0.50622246
141,1931,"Armstrong, Martin,",1882,1931,11316,,non_genre,1931,m,chirandom | teamblack,London V. ,,uk,,1939.423475,,,The romantic adventures o,0.50336367
936,1826,Anonymous2,,1826,umn.31951002081141q,,gothic,1826,,teamred | locghost | stew,London;She,,uk,62602383,1834.399149,8560131,Ghost stor,Legends of terror!,0.501759664
718,1890,"Franzos, Karl Emil,",1848,1891,nyp.33433075737753,,non_genre,1890,m,teamred | random,New York;H,PZ3.F859Ju,ah,4966570,1898.35893,8669383,,Judith Trachtenberg,0.49910769
586,1818,"Opie, Amelia Alderson,",1769,1818,mdp.39015063556271,v.1,non_genre,1818,f,teamred | random,London;Lon,PR5115.O3N4,uk,13352959,1826.296686,5232730,,New tales,0.49500353
567,1878,"Collins, Wilkie,",1824,1878,mdp.39015026244999,,gothic,1878,m,teamred | pbgothic | stew,Toronto;Ch,,uk,37217567,1886.296215,123462,,The haunted hotel,0.494972439
863,1879,"Adams, Robert Chamblet,",1839,1879,uc2.ark+=13960=t5db7zr5v,,non_genre,1879,m,teamblack | random,Boston;D. ,G540.A3,us,5814567,1887.250608,6515288,Seafaring ,"On board the ""Rocket""",0.491965228
167,1939,"Allan, Ted,",1916,1939,11592,,non_genre,1939,m,chirandom | teamred,New York W,,ca,,1947.238247,,Spain -- H,This time a better earth,0.491150179
866,1863,"Reade, Charles,",1814,1899,uc2.ark+=13960=t5n87gd14,v. 2,sensation,1863,m,sensation | teamblack | stew,Boston,,uk,,1871.193224,,,Hard Cash,0.488181515
171,1941,"Christie, Agatha,",1890,1941,11675,,crime,1941,f,chirandom | teamblack | chimyst,New York D,,uk,,1949.134967,,England;Do,N or M?,0.484340199
482,1959,"Bloch, Robert,",1917,1959,BlochPsycho1959,,gothic,1959,m,teamblack | pbgothic,,,us,,1967.064487,,,Psycho,0.479692965
133,1901,"Shiel, M. P.",1865,1929,11274,,scifi,1901,m,chifantasy | teamblack | chiscifi,London V. ,,uk,,1909.057141,,Natural di,The purple cloud,0.4792086
357,1978,"Bayer, William,",1939,1978,21494,,non_genre,1978,m,chirandom | teamblack,New York E,,us,,1986.049801,,Tangier (M,Tangier,0.478724589
268,1965,"Moore, Robin,",1925,1965,20648,,non_genre,1965,m,chirandom | teamblack,New York C,,us,,1973.034502,,Vietnam Wa,The green berets,0.477715815
716,1893,"Fawcett, E. Douglas",1866,1893,nyp.33433075727168,,scifi,1893,m,teamblack | anatscifi,London;E. ,,uk,1920017,1900.978427,5065355,,Hartmann the anarchist,0.474018417
208,1952,"Vonnegut, Kurt,",1922,1952,20079,,scifi,1952,m,chirandom | teamblack | chiscifi | stew,New York D,,us,,1959.935794,,"Satire, Am",Player piano,0.471207253
909,1851,"MacCabe, William Bernard,",1801,1851,uiuo.ark+=13960=t2s475w45,v.3,non_genre,1851,m,teamred | random,London;T.C,,ir,13312718,1858.930455,8718341,,Bertha,0.470855258
818,1892,"Zangwill, Israel,",1864,1895,uc1.b4105364,,crime,1892,m,teamred | det100,Chicago;Ra,,uk,2708030,1899.895171,6156262,,The big bow mystery,0.468528725
10,1946,"Rand, Ayn,",1905,1946,10181,,scifi,1946,f,teamred | chiscifi,New York N,,us,,1953.819106,,Individual,Anthem,0.463513217
355,1977,"Segal, Erich,",1937,1977,21473,,non_genre,1977,m,chirandom | teamred,New York H,,us,,1984.797208,,Grief,Oliver's story,0.462069306
220,1954,"Reilly, Helen,",1890,1954,20162,,crime,1954,f,teamblack | chimyst,New York R,,us,,1961.7642,,Scottish A,Tell her it's murder,0.459892846
864,1911,"Reeve, Arthur B.",1880,1911,uc2.ark+=13960=t5j961w9x,,crime,1911,m,det100 | teamblack,New York;H,,us,24992290,1918.761556,7682673,,The poisoned pen,0.459718476
223,1955,"McCarthy, Mary",1912,1955,20194,,non_genre,1955,f,chirandom | teamred,New York: ,,us,,1962.662977,,Vases|Ital,A charmed life,0.453218494
737,1914,"Reeve, Arthur B.",1880,1914,nyp.33433076047871,,crime,1914,m,teamred | det100,New York;V,,us,3336052,1921.565182,8660161,American f,The dream doctor,0.446770128
98,1950,"Phillips, Rog,",1909,1950,11004,,scifi,1950,m,teamred | chifantasy | chiscifi | stew,Chicago Ce,,us,,1957.54838,,Science fi,Worlds within,0.445662228
791,1818,"Opie, Amelia Alderson,",1769,1818,uc1.b287473,v. 1,non_genre,1818,f,teamblack | random,London;Longman;1818.,PR5115.O3N4,uk,13352959,1825.534875,5232730,,New tales,0.444771756
560,1871,"Hardy, Thomas,",1840,1896,mdp.39015018606049,,sensation,1871,m,sensation | teamblack | stew,New York,,uk,,1878.524937,,,Desperate Remedies,0.444116496
147,1932,"Shute, Nevil,",1899,1932,11383,,non_genre,1932,m,chirandom | teamred, Leicester,,uk,,1939.521072,,"World War,",Lonely road,0.443861618
610,1920,"Snell, Roy J.",,1920,mdp.39076002660483,,crime,1920,m,teamblack | locdetmyst | juvenile | drop,Chicago;Th,,,3194900,1927.382599,9930255,Adventure ,Triple spies,0.434731144
742,1865,"Murdoch, David.",1801,1865,nyp.33433076060874,,non_genre,1865,m,teamred | random,Philadelph,,us,6095778,1872.337995,7682091,,The Royalist's daughter a,0.431790027
673,1832,"James, G. P. R.",1799,1832,nyp.33433074863691,v. 2,non_genre,1832,m,teamred | random,New York;J. & J. Harper;1832.,,uk,6328469,1839.303826,8665889,"History;Fiction;Great Britain;Civil War, 1642-1649",Henry Masterton;,0.42953704
750,1905,"Pain, Barry,",1864,1905,nyp.33433081593646,,crime,1905,m,det100 | teamblack | stew,London;Unw,,uk,9994627,1912.270401,8688788,,The memoirs of Constantin,0.427333073
508,1863,"Braddon, M. E.",1835,1863,dul1.ark+=13960=t1qf9gh9b,,sensation,1863,f,sensation | teamblack | stew,Richmond,,uk,,1870.269864,,,Aurora Floyd,0.427297654
761,1918,"Emerson, Alice B.",1869,1918,nyp.33433082530043,,crime,1918,f,teamblack | locdetmyst | juvenile | drop,New York;C,,,4521263,1925.249676,5377923,Orphans;De,Ruth Fielding in the Red ,0.425966557
142,1931,"Connington, J. J.",1880,1931,11323,,crime,1931,m,chirandom | teamblack | chimyst,Boston Lit,,uk,,1938.235794,,,The boathouse riddle,0.425051159
407,1985,"Benford, Gregory,",1941,1985,22305,,scifi,1985,m,teamblack | chiscifi,New York; ,,us,,1992.176418,,Archaeolog,Artifact,0.42113613
254,1962,"L'Engle, Madeleine,",1918,1962,20505,,scifi,1962,f,chifantasy | teamblack | chiscifi,New York D,,us,,1969.137193,,Newbery Me,A wrinkle in time,0.418549712
599,1880,"Greg, Percy,",1836,1880,mdp.39015078569723,v.3,scifi,1880,m,teamred | anatscifi,Hamburg;K.,,uk,38580941,1887.122675,1420236,Utopias;Vo,Across the zodiac,0.417592461
640,1874,"Benedict, Frank Lee,",1834,1874,njp.32101067707909,,non_genre,1874,m,teamred | random,New York;H,PZ3.B428J,us,4674189,1881.100166,7652249,,John Worthington's name,0.416108236
291,1967,"Vance, Jack,",1916,1967,20767,,crime,1967,m,teamblack | chimyst,Indianapol,,us,,1974.091145,,Mystery fi,The Pleasant Grove murder,0.415513445
20,1928,"Keeler, Harry Stephen,",1890,1928,10292,,crime,1928,m,teamred | chimyst,New York E,,us,,1935.051988,,Murder;Mys,Sing Sing nights,0.412931513
813,1875,"Pinkerton, Allan,",1819,1875,uc1.b4101416,,crime,1875,m,teamblack | locdetmyst | stew,Chicago;W.,,us,6030345,1881.993636,6154545,Detective ,Claude Melnotte as a dete,0.409083969
521,1827,"Loudon, Jane",1807,1828,hvd.32044014279723,v.1,scifi,1827,f,teamred | femscifi | stew,London;H. ,PZ3.L927M2,uk,6756991,1833.945806,630047,,The mummy!,0.405930197
126,1927,"Buchan, John,",1875,1927,11191,,non_genre,1927,m,chirandom | chifantasy | teamblack,Boston; Ne,,uk,,1933.836158,,Scotland;C,Witch wood,0.398700297
