index,author,viaf_author_uri,title,date,gutenberg_id,genre,source
237,"Gissing, George",http://viaf.org/viaf/59083174,New Grub Street,1891,1709,fic,ncf
238,"Morris, William",http://viaf.org/viaf/22146194,News from nowhere,1891,3261,fic,ncf
239,"Wilde, Oscar",http://viaf.org/viaf/34464414,Picture of Dorian Gray,1891,174,fic,ncf
240,"Kipling, Rudyard",http://viaf.org/viaf/7524679,Life's handicap; being stories of mine own people,1891,5777,fic,19b
241,"Hardy, Thomas",http://viaf.org/viaf/54148778,Tess of the D'Urbervilles,1891,110,fic,ncf
242,"Grossmith, George",http://viaf.org/viaf/64144601,Diary of a nobody,1892,1026,fic,ncf
243,"Baring-Gould, Sabine",http://viaf.org/viaf/66640079,In the roar of the sea,1892,40631,fic,ncf
244,"Ward, Humphry, Mrs.",http://viaf.org/viaf/27084321,The history of David Grieve (Vol. 1/3),1892,8076,fic,19b
245,"Doyle, Arthur Conan, Sir",http://viaf.org/viaf/65283845,The adventures of Sherlock Holmes,1892,1661,fic,19b
246,"Wallace, Lew",http://viaf.org/viaf/97214081,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",1893,6848;6849,fic,19b
247,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Island nights' entertainments,1893,329,fic,ncf
248,"Gissing, George",http://viaf.org/viaf/59083174,Odd women,1893,4313,fic,ncf
249,"Henty, George Alfred",http://viaf.org/viaf/69058592,Through the Sikh war; a tale of the conquest of the Punjaub,1894,53717,fic,19b
250,"Du Maurier, George",http://viaf.org/viaf/10144,Trilby (Vol. 1/3),1894,39858,fic,19b
251,"Moore, George",http://viaf.org/viaf/88634979,Esther Waters,1894,8157,fic,ncf
252,"Wells, H. G.",http://viaf.org/viaf/97006424,Time machine,1895,35,fic,ncf
253,"Ward, Humphry, Mrs.",http://viaf.org/viaf/27084321,Story of Bessie Costrell,1895,12181,fic,ncf
254,"Allen, Grant",http://viaf.org/viaf/48393117,The woman who did,1895,4396,fic,ncf
255,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Weir of Hermiston,1896,380,fic,ncf
256,"Hardy, Thomas",http://viaf.org/viaf/54148778,Jude the obscure,1896,153,fic,ncf
257,"Hardy, Thomas",http://viaf.org/viaf/54148778,Well-beloved,1897,9438,fic,ncf
258,"Gissing, George",http://viaf.org/viaf/59083174,Whirlpool,1897,4299,fic,ncf
259,"Stoker, Bram",http://viaf.org/viaf/17229847,Dracula,1897,345,fic,ncf
260,"Zangwill, Israel",http://viaf.org/viaf/56617927,Dreamers of the Ghetto,1898,29875,fic,19b
261,"Churchill, Winston",http://viaf.org/viaf/94507588,Richard Carvel,1899,5373,fic,19b
262,"Brown, George Douglas",http://viaf.org/viaf/7534248,The house with the green shutters,1901,25876,fic,ncf
263,"Butler, Samuel",http://viaf.org/viaf/49578292,The way of all flesh,1903,2084,fic,ncf
264,"Lesuire, Robert Martin,",,The savages of Europe,1760,nyp.33433075840177,teamred | random,genrescorpus
265,"Rousseau, Jean-Jacques,",,Eloisa: or A series of or,1761,hvd.hw3q0s,teamred | random,genrescorpus
266,"Mercier, Louis-SÌ_å©bastien,",,Memoirs of the year two t,1771,nyp.33433081958500,teamblack | anatscifi,genrescorpus
267,Henrietta.,,Letters from Henrietta to,1777,nyp.33433074955331,teamblack | random,genrescorpus
268,"Reeve, Clara,",,The old English baron,1777,uc2.ark+=13960=t1td9p949,teamblack | pbgothic,genrescorpus
269,"Leprince de Beaumont,",,Letters of Madame Du Montier,1780,hvd.hn6nee,teamblack | random,genrescorpus
270,"Campe, Joachim Heinrich,",,The new Robinson Crusoe;,1780,mdp.39015078572263,teamblack | random,genrescorpus
271,"Genlis, StÌ_å©phanie FÌ_å©licitÌ_å©",,Tales of the castle;,1785,mdp.39015024230610,teamred | random,genrescorpus
272,"Lee, Sophia,",,The recess;,1785,mdp.39015039369650,teamblack | pbgothic | stew,genrescorpus
273,"Bennett, Anna Maria,",,"Anna; or, Memoirs of a Welch Heiress",1786,dul1.ark+=13960=t3vt2js1t,teamred | random,genrescorpus
274,"Beckford, William,",,Vathek,1786,uiuo.ark+=13960=t9h41nx14,teamblack | pbgothic | stew,genrescorpus
275,"Berkeley, George Monck,",,Heloise: or The siege of ,1788,dul1.ark+=13960=t6834qb4k,teamred | random,genrescorpus
276,"Smith, Charlotte,",,Emmeline,1788,nyp.33433074911532,teamblack | pbgothic | stew,genrescorpus
277,"Smith, Charlotte,",,Emmeline,1788,nyp.33433074911508,teamred | pbgothic | stew,genrescorpus
278,"White, James,",,The adventures of John of,1790,nyp.33433074918784,teamblack | random,genrescorpus
279,"Radcliffe, Ann Ward,",,A Sicilian romance,1790,nyp.33433074955091,teamred | pbgothic | stew,genrescorpus
280,"LavallÌ_å©e, Joseph,",,The negro equalled by few,1790,njp.32101074629542,teamblack | random,genrescorpus
281,"Radcliffe, Ann Ward,",,A Sicilian romance,1790,nyp.33433074955109,teamred | pbgothic | stew,genrescorpus
282,"Combe, William,",,The devil upon two sticks,1791,njp.32101066479765,teamblack | random,genrescorpus
283,"Reeve, Clara,",,The school for widows,1791,mdp.39015033367668,teamblack | stangothic,genrescorpus
284,"Radcliffe, Ann Ward,",,The romance of the forest,1791,nnc1.cu58506756,teamblack | pbgothic | stew,genrescorpus
285,"Godwin, William,",,The adventures of Caleb W,1794,uva.x000498882,teamred | pbgothic | stew,genrescorpus
286,"Moser, Joseph,",,Turkish tales,1794,nnc1.1002330709,teamred | random,genrescorpus
287,"Bennett, Anna Maria,",,"Ellen, Countess of Castle Howel",1794,mdp.39015021250124,teamred | random,genrescorpus
288,"Gunning,",,Memoirs of Mary,1794,mdp.39015063931474,teamblack | random,genrescorpus
289,"Cumberland, Richard,",,Henry,1795,nnc1.0037104152,teamred | random,genrescorpus
290,"Lewis, M. G.",,The monk,1796,nyp.33433074874300,teamblack | pbgothic,genrescorpus
291,"Roche, Regina Maria,",,The children of the abbey,1796,njp.32101062743727,teamblack | pbgothic,genrescorpus
292,"Burney, Fanny,",,"Camilla: or, A picture of",1796,uc2.ark+=13960=t5t728t8q,teamblack | random,genrescorpus
293,"Lewis, M. G.",,The monk,1796,nyp.33433074874748,teamblack | pbgothic | stew,genrescorpus
294,"Robinson, Mary Darby,",,The false friend,1799,nyp.33433074911771,teamred | random,genrescorpus
295,"Hamilton, Elizabeth,",,Memoirs of modern philosophers,1800,mdp.39015023189999,teamred | random,genrescorpus
296,"Karamzin, NikolaÌ__ MikhaÌ__lovich,",,Russian tales,1800,nyp.33433051569915,teamred | random,genrescorpus
297,"Du Bois, Edward,",,Old Nick;,1801,njp.32101068177102,teamred | random,genrescorpus
298,"Du Bois, Edward,",,Old Nick;,1801,njp.32101068177094,teamred | random,genrescorpus
299,"Moore, George,",,Grasville Abbey,1801,uiuo.ark+=13960=t0ns19n7m,teamblack | stangothic,genrescorpus
300,"Melville, Theodore.",,"The white knight, or, The monastery of Morne",1802,uiuo.ark+=13960=t2988vx2b,teamblack | stangothic,genrescorpus
301,"Cullen, Margaret.",,Home,1802,nyp.33433074954979,teamred | random,genrescorpus
302,Anonymous0,,Letters of Miss Riversdale,1803,uc1.b250120,teamblack | random,genrescorpus
303,"Walker, George,",,Don Raphael,1803,uiuo.ark+=13960=t8w95tz11,teamred | stangothic,genrescorpus
304,"Cuthbertson, Catherine.",,Romance of the Pyrenees,1803,uiuo.ark+=13960=t8nc69j1b,teamblack | stangothic,genrescorpus
305,Anonymous7,,"Barbara Markham; or, The profligate requited;",1803,uc1.b248234,teamblack | random,genrescorpus
306,"Cuthbertson, Catherine.",,Romance of the Pyrenees,1803,nyp.33433074951611,teamblack | stangothic,genrescorpus
307,"Lee, Harriet,",,Canterbury tales,1803,hvd.hwkdax,teamred | random,genrescorpus
308,"Cuthbertson, Catherine.",,Romance of the Pyrenees,1803,uiuo.ark+=13960=t1gh9v49g,teamblack | stangothic | stew,genrescorpus
309,"Cuthbertson, Catherine.",,Romance of the Pyrenees,1803,uiuo.ark+=13960=t6xw4rw1j,teamblack | stangothic,genrescorpus
310,"Young, Mary Julia.",,"Right and wrong; or, The kinsmen of Naples",1803,uiuo.ark+=13960=t3xs6cp6m,teamred | stangothic | stew,genrescorpus
311,"Frances, Sophia L.",,"Vivonio, or, The hour of retribution",1806,uiuo.ark+=13960=t86h4xr9x,teamblack | stangothic | stew,genrescorpus
312,"Bayfield, E. G.,",,A winter in Bath,1807,dul1.ark+=13960=t3dz14r97,teamred | random,genrescorpus
313,"Roche, Regina Maria,",,"The discarded son; or, Haunt of the banditti",1807,nyp.33433067303937,teamred | stangothic,genrescorpus
314,"Dacre, Charlotte,",,The libertine;,1807,njp.32101037977574,teamblack | pbgothic,genrescorpus
315,"Mortimer, Edward,",,The friar Hildargo,1807,uiuo.ark+=13960=t18k7vt5k,teamred | stangothic,genrescorpus
316,"Grant, Anne MacVicar,",,Letters from the mountain,1807,uc2.ark+=13960=t82j6cs08,teamblack | random,genrescorpus
317,"Bayfield, E. G.,",,A winter in Bath,1807,dul1.ark+=13960=t0tq6sw6t,teamred | random,genrescorpus
318,"Frances, Sophia L.",,"Angelo Guicciardini, or, The bandit of the Alps",1809,uiuo.ark+=13960=t9f481w8n,teamred | stangothic,genrescorpus
319,Anonymous6,,"The adulteress ; or, anecdotes of two noble families",1810,uiuo.ark+=13960=t7br98r5d,teamblack | random,genrescorpus
320,"Cuthbertson, Catherine.",,Forest of Montalbano,1810,uiuo.ark+=13960=t6251zn27,teamblack | stangothic,genrescorpus
321,"Stanhope, Louisa Sidney.",,The confessional of Valombre,1812,uiuo.ark+=13960=t5z615j7x,teamred | stangothic | stew,genrescorpus
322,"Byron, Medora Gordon.",,The Englishman,1812,uiuo.ark+=13960=t95723s7x,teamblack | random,genrescorpus
323,"Parker, Emma.",,Aretas,1813,uiuo.ark+=13960=t09w1328x,teamblack | random,genrescorpus
324,"Roche, Regina Maria,",,The monastery of St. Columb;,1813,njp.32101013133523,teamred | stangothic,genrescorpus
325,"Lewis, Alethea,",,Rhoda,1816,njp.32101038161780,teamblack | random,genrescorpus
326,"Burney, Sarah Harriet,",,Tales of fancy,1816,mdp.39015063759552,teamred | random,genrescorpus
327,"Opie, Amelia Alderson,",,New tales,1818,uc1.b287473,teamblack | random,genrescorpus
328,"Opie, Amelia Alderson,",,New tales,1818,mdp.39015063556271,teamred | random,genrescorpus
329,"Porter, Anna Maria,",,The fast of St. Magdalen,1818,uiuo.ark+=13960=t3jw90j80,teamblack | stangothic,genrescorpus
330,"Galt, John,",,The earthquake;,1820,mdp.39015063967478,teamblack | random,genrescorpus
331,"Opie, Amelia Alderson,",,Tales of the heart,1820,uiuo.ark+=13960=t1rf6b61z,teamblack | random,genrescorpus
332,"Irving, Washington,",,The sketch-book of Geoffr,1820,uva.x000960744,teamblack | pbgothic,genrescorpus
333,"Varty-Smith, Augusta A.",,Matthew Tindale,1891,uc1.b254212,teamred | random,genrescorpus
334,"Lockhart, J. G.",,Reginald Dalton,1823,mdp.39015059372105,teamblack | random,genrescorpus
335,"Gaspey, Thomas,",,"Other times; or, the monks of Leadenhall",1823,uiuo.ark+=13960=t00z7jj1c,teamblack | stangothic,genrescorpus
336,"Sullivan, Mary Ann.",,"Owen Castle, or, Which is the heroine?",1823,uiuo.ark+=13960=t1ng5958h,teamred | stangothic,genrescorpus
337,"Cooper, James Fenimore,",,The pilot;,1824,hvd.hwjtfk,teamblack | random,genrescorpus
338,"Wilkins, George,",,The convert,1826,nyp.33433075768253,teamblack | random,genrescorpus
339,Anonymous2,,Legends of terror!,1826,umn.31951002081141q,teamred | locghost | stew,genrescorpus
340,"Radcliffe, Ann Ward,",,Gaston de Blondeville,1826,uc1.b3575696,teamblack | pbgothic,genrescorpus
341,"Radcliffe, Ann Ward,",,Gaston de Blondeville,1826,uc1.b3575698,teamred | pbgothic | stew,genrescorpus
342,"Banim, John,",,Tales,1826,mdp.39015051156498,teamred | random,genrescorpus
343,"Lytton, Edward Bulwer Lyt",,Falkland,1827,nyp.33433074937610,teamblack | pbgothic | stew,genrescorpus
344,"Ward, R. Plumer",,De Vere,1827,uc1.b3290572,teamblack | random,genrescorpus
345,"Loudon, Jane",,The mummy!,1827,hvd.32044014279723,teamred | femscifi | stew,genrescorpus
346,"Gaspey, Thomas,",,History of George Godfrey,1828,uiuo.ark+=13960=t15m6kw75,newgate | teamblack,genrescorpus
347,"Gaspey, Thomas,",,History of George Godfrey,1828,uiuo.ark+=13960=t44q88m18,newgate | teamblack,genrescorpus
348,"Vidocq, EugÌ_Ìâne FranÌ__ois,",,Memoirs of Vidocq,1829,hvd.32044020321865,teamred | det100,genrescorpus
349,"Lytton, Edward Bulwer Lyt",,Devereux,1829,uc2.ark+=13960=t0ms3qz4m,teamred | random,genrescorpus
350,"Lytton, Edward Bulwer Lyt",,Paul Clifford,1830,wu.89100297621,teamred | newgate | stew,genrescorpus
351,"Hall, Anna Maria",,The buccaneer,1832,uc2.ark+=13960=t3hx1bd9t,teamred | locdetmyst | stew,genrescorpus
352,"Spindler, Carl,",,The Jew,1832,uc1.b316144,teamblack | random,genrescorpus
353,"Galt, John,",,Stanley Buxton;,1832,mdp.39015063994266,teamred | random,genrescorpus
354,"Disraeli, Benjamin,",,Contarini Fleming;,1832,nyp.33433074937438,teamblack | random,genrescorpus
355,"Disraeli, Benjamin,",,Contarini Fleming;,1832,nyp.33433074937446,teamred | random,genrescorpus
356,"Irving, Washington,",,Tales of the Alhambra,1832,nyp.33433081585105,teamblack | pbgothic,genrescorpus
357,"Hall, Anna Maria",,The buccaneer,1832,uc2.ark+=13960=t3rv0jp0n,teamred | locdetmyst | stew,genrescorpus
358,"James, G. P. R.",,Henry Masterton;,1832,nyp.33433074863691,teamred | random,genrescorpus
359,"Hall, Anna Maria",,The buccaneer,1832,uc2.ark+=13960=t8ff3s14j,teamred | locdetmyst | stew,genrescorpus
360,"Lytton, Edward Bulwer Lyt",,Godolphin,1833,uc2.ark+=13960=t1mg7hw3f,teamblack | pbgothic,genrescorpus
361,"Hall, James,",,The soldier's bride and o,1833,njp.32101067634046,teamred | random,genrescorpus
362,"White, James,",,Some passages in the life of Sir Frizzle Pumpkin,1834,uc2.ark+=13960=t4wh2p202,teamblack | random,genrescorpus
363,"Griffith, Mary,",,"Camperdown, or, News from",1836,njp.32101067645505,teamblack | locscifi,genrescorpus
364,"Hawthorne, Nathaniel,",,Twice-told tales,1837,mdp.39015002313487,teamblack | pbgothic,genrescorpus
365,"Lover, Samuel,",,Rory O'More,1837,nyp.33433074878889,teamblack | random,genrescorpus
366,"Trollope, Frances Milton,",,A romance of Vienna,1838,umn.31951002096159c,teamblack | random,genrescorpus
367,"Poe, Edgar Allan,",,The narrative of Arthur G,1838,uc1.31822038205001,teamblack | anatscifi | drop,genrescorpus
368,"James, G. P. R.",,The robber,1838,nyp.33433074868807,teamred | random,genrescorpus
369,"Hook, Theodore Edward,",,"Cousin Geoffrey, the old ",1840,uc1.b3326097,teamred | random,genrescorpus
370,"Poe, Edgar Allan,",,The Murder in the Rue Morgue (short story),1841,PoeRueMorgue1841,det100 | teamblack,genrescorpus
371,"Sinclair, Catherine,",,Modern flirtations,1841,nnc1.1002365251,teamblack | random,genrescorpus
372,"Poe, Edgar Allan,",,The Mystery of Marie Roget (short story),1842,PoeMysteryMarieRoget1842,teamred | det100 | stew,genrescorpus
373,"Poe, Edgar Allan,",,Tales by Edgar Allan Poe,1843,njp.32101068601341,teamred | pbgothic,genrescorpus
374,"James, G. P. R.",,Forest days;,1843,njp.32101007059791,teamblack | random,genrescorpus
375,"Eastlake, Elizabeth,",,Livonian tales,1843,uc1.b248744,teamblack | random,genrescorpus
376,"Reynolds, George W. M.",,The mysteries of London,1844,njp.32101075374379,teamred | pbgothic | stew,genrescorpus
377,"Poe, Edgar Allan,",,The Purloined Letter (short story),1845,PoePurloinedLetter1845,teamred | det100,genrescorpus
378,"Poe, Edgar Allan,",,Selected tales of mystery,1845,uc2.ark+=13960=t0bv79z1x,det100 | teamblack | drop,genrescorpus
379,"Sewell, Elizabeth Missing",,Gertrude,1846,mdp.39015006997806,teamred | random,genrescorpus
380,"Reynolds, George W. M.",,The mysteries of London,1846,uc1.32106010644463,teamred | pbgothic | stew,genrescorpus
381,"Hawthorne, Nathaniel,",,Mosses from an old manse,1846,mdp.39015004274992,teamred | pbgothic,genrescorpus
382,"BrontÌ_åâ, Charlotte,",,Jane Eyre,1847,mdp.39076006220961,teamred | pbgothic,genrescorpus
383,"BrontÌ_åâ, Emily,",,Wuthering Heights,1847,nyp.33433074931118,teamred | pbgothic | stew,genrescorpus
384,"Cobbold, Richard,",,Zenon,1847,uiuo.ark+=13960=t3vt1zh5r,teamred | random,genrescorpus
385,"Arthur, T. S.",,Lovers and husbands,1847,nyp.33433082170576,teamred | random,genrescorpus
386,"Froude, James Anthony,",,Shadows of the clouds,1847,uc2.ark+=13960=t9f47kt3k,teamblack | random,genrescorpus
387,"BrontÌ_åâ, Charlotte,",,Jane Eyre,1847,mdp.39076006220979,teamred | pbgothic | stew,genrescorpus
388,"St. Clair, Henry.",,"Tales of terror; or, The ",1848,nyp.33433082514187,teamred | locghost | stew,genrescorpus
389,"Kavanagh, Julia,",,Madeleine,1848,nyp.33433074863782,teamblack | random,genrescorpus
390,"Harris, Alexander,",,The emigrant family ;,1849,uiuo.ark+=13960=t8pc3d497,teamblack | random,genrescorpus
391,"Ainsworth, William Harris",,The Lancashire witches,1849,inu.30000060903741,teamblack | pbgothic,genrescorpus
392,"Reynolds, George W. M.",,The mysteries of the cour,1850,uiuo.ark+=13960=t2j683k08,teamblack | pbgothic,genrescorpus
393,"Hawthorne, Nathaniel,",,The scarlet letter,1850,uva.x000180089,teamred | pbgothic | stew,genrescorpus
394,"Arthur, T. S.",,Tales of domestic life,1850,uc2.ark+=13960=t8df6mw4h,teamblack | random,genrescorpus
395,"Myers, P. Hamilton",,The King of the Hurons,1850,nyp.33433022846707,teamblack | random,genrescorpus
396,"MacCabe, William Bernard,",,Bertha,1851,uiuo.ark+=13960=t2s475w45,teamred | random,genrescorpus
397,"Hawthorne, Nathaniel,",,The house of the seven ga,1851,uc2.ark+=13960=t2r49vz0v,teamblack | pbgothic,genrescorpus
398,"Lytton, Edward Bulwer Lyt",,"""My novel,""",1853,uc2.ark+=13960=t6154fk9b,teamred | random,genrescorpus
399,"Irving, John Treat,",,The attorney,1853,uc1.b3324210,teamblack | random,genrescorpus
400,"Austin, Alfred,",,Five years of it,1858,nyp.33433074920608,teamred | random,genrescorpus
401,"MacDonald, George,",,Phantastes,1858,uc2.ark+=13960=t9862rx2r,teamblack | pbgothic,genrescorpus
402,"Manning, Anne,",,The ladies of Bever Hollo,1858,uiuo.ark+=13960=t7pn9mm7s,teamblack | random,genrescorpus
403,"MacDonald, George,",,Phantastes,1858,uc2.ark+=13960=t2h70nx9q,teamblack | pbgothic | stew,genrescorpus
404,"Russell, William,",,Recollections of a Detect,1859,RecollectionsAD,det100 | teamblack,genrescorpus
405,"Hamel, Felix John.",,"Harry Roughton, or, Remin",1859,nyp.33433074870266,teamblack | locdetmyst,genrescorpus
406,"Chorley, Henry Fothergill",,Roccabella,1859,uiuo.ark+=13960=t9c53x809,teamred | random,genrescorpus
407,"De Forest, John William,",,Seacliff;,1859,uc1.b3324220,teamred | random,genrescorpus
408,"Lawrence, George A.",,Sword and gown,1860,uc1.b3324403,teamred | random,genrescorpus
409,"Trollope, Anthony,",,Rachel Ray,1863,uc1.b4101364,teamred | random,genrescorpus
410,"Felix, Charles, pseud.",,Notting Hill Mystery,1863,NottingHM,teamred | blcrime,genrescorpus
411,"Braddon, M. E.",,Aurora Floyd,1863,dul1.ark+=13960=t1qf9gh9b,sensation | teamblack | stew,genrescorpus
412,"Williams, John Babbington",,Leaves from the note-book,1865,nyp.33433074929393,teamred | locdetective | stew,genrescorpus
413,"Verne, Jules,",,From the Earth to the Moo,1865,uva.x000380956,teamred | anatscifi | stew,genrescorpus
414,"Ouida,",,Strathmore,1865,wu.89099780959,teamred | sensation | stew,genrescorpus
415,"Murdoch, David.",,The Royalist's daughter a,1865,nyp.33433076060874,teamred | random,genrescorpus
416,"Gaboriau, Emile,",,The widow Lerouge,1866,uc1.32106006960592,teamred | det100,genrescorpus
417,"Dostoevsky, Fyodor,",,Crime and Punishment,1866,dostoevskypunishment,teamred | lockandkey,genrescorpus
418,"Kirkus, William,",,Only to be married,1867,uiuo.ark+=13960=t42r4bj1d,teamblack | random,genrescorpus
419,"Gaboriau, Emile,",,File no. 113,1867,mdp.39015030307881,det100 | teamblack,genrescorpus
420,"Broughton, Rhoda,",,Not Wisely But Too Well,1867,njp.32101067630820,teamred | sensation | stew,genrescorpus
421,"MÌ__hlbach, L.",,Marie Antoinette and her ,1867,uc2.ark+=13960=t1sf2p11n,teamblack | random,genrescorpus
422,"Gaboriau, Emile,",,The mystery of Orcival,1867,nyp.33433075833354,det100 | teamblack,genrescorpus
423,"Alcott, Louisa May,",,Kitty's class day ;,1868,njp.32101068580768,teamblack | random,genrescorpus
424,"Knight, Legh.",,Tonic bitters,1868,uiuo.ark+=13960=t58d0ds3h,teamred | random,genrescorpus
425,"Capes, J. M.",,The mosaic-worker's daugh,1868,uiuo.ark+=13960=t48p6974b,teamblack | random,genrescorpus
426,"Ellis, Edward S.",,The Steam Man of the Prairies,1868,EllisSteamManPrairies1868,teamblack | anatscifi | stew,genrescorpus
427,"Speight, T. W.",,Under lock and key; a sto,1868,uiuo.ark+=13960=t3223k32d,det100 | teamblack | stew,genrescorpus
428,"Verne, Jules,",,Twenty thousand leagues u,1870,mdp.39015004307362,teamred | anatscifi,genrescorpus
429,"Marryat, Florence,",,Her lord and master,1871,nyp.33433074880075,teamblack | random,genrescorpus
430,"Spielhagen, Friedrich,",,The Skeleton in the House,1871,spielhagenskeleton,teamred | lockandkey | stew,genrescorpus
431,"McWatters, George S",,Knots untied,1871,uc1.b3386909,teamred | locdetective,genrescorpus
432,"Le Fanu, Joseph Sheridan,",,Checkmate,1871,njp.32101067344661,teamred | det100,genrescorpus
433,"Farjeon, B. L.",,Joshua Marvel,1871,uc2.ark+=13960=t6251m863,teamblack | random,genrescorpus
434,"Hardy, Thomas,",,Desperate Remedies,1871,mdp.39015018606049,sensation | teamblack | stew,genrescorpus
435,"Lytton, Edward Bulwer Lyt",,The coming race,1871,uva.x030223689,teamblack | anatscifi,genrescorpus
436,"Le Fanu, Joseph Sheridan,",,In a glass darkly,1872,inu.30000007695723,teamblack | pbgothic | stew,genrescorpus
437,"Benedict, Frank Lee,",,John Worthington's name,1874,njp.32101067707909,teamred | random,genrescorpus
438,"Pinkerton, Allan,",,The expressman and the de,1874,njp.32101031806142,teamred | locdetective,genrescorpus
439,"Pinkerton, Allan,",,The expressman and the de,1874,uc2.ark+=13960=t9t14vb5t,teamred | locdetective,genrescorpus
440,"Stockton, Frank Richard,",,What might have been expe,1874,uc2.ark+=13960=t44q7rc7f,teamblack | random,genrescorpus
441,"Du Boisgobey, FortunÌ_å©,",,The golden tress,1875,nyp.33433075818801,teamred | det100,genrescorpus
442,"Walraven, E. G.",,"The two orphans, or, The ",1875,uc2.ark+=13960=t53f4sg3b,teamred | random,genrescorpus
443,"Optic, Oliver,",,"Getting an indorser, and ",1875,nyp.33433082168877,teamblack | random,genrescorpus
444,"Pinkerton, Allan,",,Claude Melnotte as a dete,1875,njp.32101031806159,teamblack | locdetmyst,genrescorpus
445,"Mason, Charles Welsh.",,"The rape of the gamp; or,",1875,uiuo.ark+=13960=t1qf99m3q,teamblack | random,genrescorpus
446,"Pinkerton, Allan,",,Claude Melnotte as a dete,1875,uc1.b4101416,teamblack | locdetmyst | stew,genrescorpus
447,"Russell, William Clark,",,Is he the man?,1876,uc2.ark+=13960=t9474d81g,det100 | teamblack | stew,genrescorpus
448,"Pinkerton, Allan,",,The spiritualists and the,1876,uc1.$b813705,locdetective | teamblack,genrescorpus
449,"Robinson, Frederick Willi",,As long as she lived,1876,uiuo.ark+=13960=t0ft97228,teamred | random,genrescorpus
450,"GrÌ_å©ville, Henry,",,Marrying off a daughter,1876,nyp.33433075818611,teamred | random,genrescorpus
451,"Verga, Giovanni,",,The Castle of Trezza,1877,vergacastleoftrezza,lockandkey | teamblack,genrescorpus
452,"Cobbe, Frances Power,",,The age of science,1877,mdp.39015010330341,teamred | femscifi | stew,genrescorpus
453,"Auerbach, Berthold,",,Landolin,1878,njp.32101067641678,teamred | random,genrescorpus
454,"Collins, Wilkie,",,The haunted hotel,1878,mdp.39015026244999,teamred | pbgothic | stew,genrescorpus
455,"Green, Anna Katharine,",,The Leavenworth case,1878,mdp.39015035566440,teamred | det100,genrescorpus
456,"Adams, Robert Chamblet,",,"On board the ""Rocket""",1879,uc2.ark+=13960=t5db7zr5v,teamblack | random,genrescorpus
457,"Pinkerton, Allan,",,Mississippi outlaws and t,1879,uc2.ark+=13960=t5bc3wr6q,teamred | locdetective,genrescorpus
458,"Braddon, M. E.",,The Story of Barbara,1880,uiuo.ark+=13960=t2697pf21,sensation | teamblack | stew,genrescorpus
459,"Scudder, Horace Elisha,",,Doings of the Bodley fami,1880,uva.x030743237,teamblack | random,genrescorpus
460,"Greg, Percy,",,Across the zodiac,1880,uc1.b3578701,teamblack | anatscifi | locscifi,genrescorpus
461,"Greg, Percy,",,Across the zodiac,1880,dul1.ark+=13960=t3dz0xh78,teamblack | anatscifi | locscifi,genrescorpus
462,"Zhelikhovsky, Vera,",,The General's Will,1880,verajelihovskygeneralswill,lockandkey | teamblack,genrescorpus
463,"Greg, Percy,",,Across the zodiac,1880,mdp.39015078569723,teamred | anatscifi,genrescorpus
464,"Cowan, Frank,",,Revi-Lona,1880,nyp.33433074818778,teamblack | locscifi,genrescorpus
465,"Aldrich, Thomas Bailey,",,The stillwater tragedy,1880,uva.x030832557,teamred | det100,genrescorpus
466,"Pinkerton, Allan,",,The rail-road forger and ,1881,uc1.$b813836,teamred | locdetective | stew,genrescorpus
467,"Sidney, Margaret,",,Five little Peppers and h,1881,mdp.39015062658789,teamblack | random,genrescorpus
468,"Oliphant,",,A little pilgrim in the u,1882,mdp.39015063559390,teamred | pbgothic | stew,genrescorpus
469,"Du Boisgobey, FortunÌ_å©,",,The detective's eye ;,1883,uc1.b318291,det100 | teamblack,genrescorpus
470,"Oliphant, Laurence,",,Altiora Peto,1883,uiuo.ark+=13960=t9474zg09,teamred | random,genrescorpus
471,"Lynch, Lawrence L.",,"Dangerous ground, or, The",1885,uc2.ark+=13960=t5n874v29,det100 | teamblack,genrescorpus
472,"LemaÌ_åÂtre, Jules,",,Serenus and other stories,1886,uc2.ark+=13960=t1dj5cf2j,teamred | random,genrescorpus
473,"Hume, Fergus,",,The mystery of a hansom c,1886,njp.32101063580268,teamred | det100,genrescorpus
474,"Corelli, Marie,",,A romance of two worlds,1886,uiuo.ark+=13960=t7cr65585,teamred | femscifi | locscifi,genrescorpus
475,"Verne, Jules,",,The clipper of the clouds,1886,uc1.b117774,teamred | anatscifi | locscifi,genrescorpus
476,"Fawcett, Edgar,",,Olivia Delaplaine,1887,uc2.ark+=13960=t4bn9zk9h,teamred | random,genrescorpus
477,Anonymous3,,Dreamland and ghostland,1887,inu.30000042783591,teamblack | locghost,genrescorpus
478,"Hudson, W. H.",,A crystal age,1887,njp.32101013621246,teamred | anatscifi,genrescorpus
479,"Doyle, Arthur Conan,",,A study in scarlet,1887,uc1.b4107807,det100 | teamblack,genrescorpus
480,"Clarke, Rebecca Sophia,",,Drones' honey,1887,uc2.ark+=13960=t0js9hc64,teamblack | random,genrescorpus
481,"Gibbon, Charles,",,Beyond compare,1888,uc2.ark+=13960=t0cv4hf87,teamblack | locdetmyst,genrescorpus
